,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State
33,Aleutians West,1569.045516,2029.884594,400.7432022,396.30057220000003,5561,AK
34,Alexander,2622.2333289999997,3199.86687,1408.553069,0.0,8238,IL
35,Alexander,11471.9224,12844.0135,21.00158226,0.0,37198,NC
36,Alexandria,0.0,4403.8639299999995,0.0,0.0,139966,VA
37,Alfalfa,1356.979924,1632.501143,1045.5738119999999,0.0,5642,OK
38,Alger,2848.68311,3038.7362559999997,1208.939369,350.508451,9601,MI
39,Allamakee,3100.30508,4014.4397270000004,347.3983913,0.0,14330,IA
40,Allegan,22211.446190000002,29150.6381,75.8044155,0.0,111408,MI
41,Allegany,18380.01683,23769.463030000003,387.8052013,0.0,75087,MD
42,Allegany,14527.75836,16196.2657,52.8832945,0.0,48946,NY
43,Alleghany,4485.066137,5081.642081,152.0132399,0.0,11155,NC
44,Alleghany,3137.299083,4030.635962,193.488026,0.0,16250,VA
45,Allegheny,87109.82527,244314.0416,0.0,0.0,1223348,PA
46,Allen,46989.33204,85331.03338,344.7571838,0.0,355329,IN
47,Allen,3042.678554,3929.9252149999998,540.2754415,0.0,13371,KS
48,Allen,6638.960647,7695.088619,103.0028813,0.0,19956,KY
49,Allen,9130.071699,11072.80924,2931.9972199999997,0.0,25764,LA
50,Allen,12785.78482,26723.56958,0.0,0.0,106331,OH
51,Allendale,1869.1351079999997,3643.475535,92.56977887,0.0,10419,SC
52,Alpena,5257.223984,9647.57429,518.0442421,0.0,29598,MI
53,Alpine,312.8881981,312.8881981,152.611752,24.66738227,1175,CA
54,Amador,5814.115884000001,7655.970740000001,16.20583952,0.0,38091,CA
55,Amelia,3582.7825450000005,3660.3603420000004,416.9077143,0.0,12690,VA
56,Amherst,8329.783399,9836.068187,94.12536455,0.0,32353,VA
57,Amite,7106.896739,7387.424198999999,1428.189764,0.0,13131,MS
58,Anchorage,14896.12042,41010.73085,14.89539112,0.559630698,291826,AK
59,Anderson,1791.964989,2879.718524,576.0024164,0.0,8102,KS
60,Anderson,3665.9120310000003,4590.128381,0.0,0.0,21421,KY
61,Anderson,45355.28878,60200.550579999996,2228.565486,0.0,187126,SC
62,Anderson,13949.28139,21611.50752,12.13152652,0.0,75129,TN
63,Anderson,14417.669219999998,18479.72511,1943.782011,0.0,58458,TX
64,Andrew,2800.0452170000003,3538.912683,221.8410892,0.0,17291,MO
65,Andrews,2840.42798,4541.316668,36.29597494,1.115761783,14786,TX
66,Androscoggin,14167.66133,27396.96575,0.0,0.0,107702,ME
67,Angelina,24256.43835,31804.2713,2016.176904,70.09123464,86771,TX
68,Anne Arundel,22228.49569,54366.07969,0.0,0.0,537656,MD
69,Anoka,29638.457039999998,49907.50384,0.0,0.0,330844,MN
70,Anson,9793.457051000001,11740.02105,23.00106565,0.0,26948,NC
71,Antelope,2001.8536100000001,2254.8709129999997,1052.688948,0.0,6685,NE
72,Antrim,6265.8095490000005,7871.042893000001,32.25958462,0.0,23580,MI
73,Apache,39056.44592,42153.08356,28795.757960000003,19603.647259999998,71518,AZ
74,Appanoose,3266.778938,4132.7399780000005,718.4156554,0.0,12887,IA
75,Appling,5847.372039,6748.150170999999,709.9637421,0.0,18236,GA
76,Appomattox,3867.730978,4413.9898060000005,112.51129340000001,0.0,14973,VA
77,Aransas,7549.6506469999995,8600.689961,0.9907783090000001,0.0,23158,TX
78,Arapahoe,24873.537180000003,92322.68398999999,274.3204977,1.307313694,572003,CO
79,Archer,1829.575953,2216.238234,445.397216,0.45321246200000004,9054,TX
80,Archuleta,2716.375276,3239.899947,353.7728586,0.20117304600000002,12084,CO
81,Arenac,5334.357962,5949.79535,12.94830873,0.0,15899,MI
82,Arkansas,2918.670578,5871.204402,826.9477109000001,0.0,19019,AR
83,Arlington,174.96251759999998,10487.25686,0.0,0.0,207627,VA
84,Armstrong,13718.671,17248.71458,23.57499123,0.0,68941,PA
85,Armstrong,560.0320027,560.0320027,558.8216464,84.66923751,1901,TX
86,Aroostook,18937.80531,23494.070480000002,2867.3170059999998,218.30595630000002,71870,ME
87,Arthur,167.3708931,167.3708931,167.3708931,166.0009329,460,NE
88,Ascension,18956.78602,24800.10728,0.0,0.0,107215,LA
89,Ashe,9812.818916,11313.62779,679.0904363,0.0,27281,NC
90,Ashland,10469.62709,14582.756019999999,0.0,0.0,53139,OH
91,Ashland,3765.5762950000003,5647.6517969999995,1806.719347,107.6956372,16157,WI
92,Ashley,6094.712609,8445.132071,1590.58434,0.0,21853,AR
93,Ashtabula,23770.84879,33748.80001,0.0,0.0,101497,OH
94,Asotin,1487.162136,4600.504620000001,175.9202213,55.58854625,21623,WA
95,Assumption,7759.275009999999,8832.249338,1252.667384,0.0,23421,LA
96,Atascosa,13144.40931,16680.18565,1455.216128,13.766133400000001,44911,TX
97,Atchison,2969.354662,5180.571265,565.5440639999999,0.0,16924,KS
98,Atchison,1046.774555,1719.190255,99.66886417,0.0,5685,MO
99,Athens,20057.2435,31227.52952,796.1579432999999,0.0,64757,OH
100,Atkinson,3500.960277,3988.678865,914.9566377,0.0,8375,GA
101,Atlantic,42329.35076,63246.24842,96.55309853,0.0,274549,NJ
102,Atoka,5468.647438,6242.930662,2597.498371,45.65302539,14182,OK
103,Attala,6040.489815999999,8614.884725,614.2307954,0.0,19564,MS
104,Audrain,5244.588611,7812.167818000001,435.90744620000004,0.0,25529,MO
105,Audubon,1466.355887,1921.326021,88.86653374,0.0,6119,IA
106,Auglaize,4058.970818,8035.827226,0.0,0.0,45949,OH
107,Augusta,15383.2819,17795.06214,558.8079407,0.0,73750,VA
108,Aurora,910.5882962999999,910.5882962999999,909.3892229,752.9184325,2710,SD
109,Austin,5826.97283,7604.606401999999,693.5752727000001,0.0,28417,TX
110,Autauga,10081.25411,12737.59332,2517.2328030000003,0.0,54571,AL
111,Avery,6149.12158,6888.432818000001,0.0,0.0,17797,NC
112,Avoyelles,16215.179030000001,19925.42209,869.1541725,0.0,42073,LA
